deployment,instrument,n_int,pct_T_implausible,pct_T_dev_gt8,Tref,pct_tilt_gt30,p95_abs_pitch,p95_abs_roll,p99_abs_roll,head_drift,pct_batt_out,c_min,c_max,tilt_drift
LPL20231205-20240213,LPL-8M02_1,18396,0.00,0.00,17.03,0.00,0.25,0.55,0.55,0.1,0.00,1508.1,1512.6,-0.00
LPL20231205-20240213,LPL-8M02_2,18397,0.00,0.00,17.12,0.00,0.55,0.55,0.55,0.9,0.00,1509.6,1512.6,-0.40
LPL20231205-20240213,LPL-8M02_3,18397,0.00,0.00,14.98,0.00,0.55,0.15,0.25,0.0,0.00,1501.7,1509.6,0.02
LPL20231205-20240213,LPL-8M02_4,18397,0.00,0.00,15.83,0.00,0.55,0.25,0.25,0.1,0.00,1503.3,1509.6,0.05
LPL20231205-20240213,LPL-8M02_5,7176,0.00,0.00,15.48,0.00,6.85,6.25,6.25,0.1,0.00,1504.9,1508.1,-0.00
LPL20241211-20250221,LPL-8M02_1,18396,0.00,0.00,13.33,0.00,1.35,0.55,0.55,-6.2,0.00,1495.1,1505.0,-0.36
LPL20241211-20250221,LPL-8M02_2,18397,0.00,0.00,13.48,0.00,1.65,0.25,0.25,-0.1,0.00,1495.1,1505.0,0.01
LPL20241211-20250221,LPL-8M02_3,18397,0.00,0.00,13.48,0.00,1.55,0.25,0.25,-0.0,0.00,1496.8,1505.0,0.01
LPL20241211-20250221,LPL-8M02_4,18397,0.00,0.00,13.73,0.00,1.55,0.25,0.25,-0.1,0.00,1498.5,1505.0,-0.00
LPL20241211-20250221,LPL-8M02_5,9728,0.00,1.64,14.33,0.09,1.85,0.25,24.35,46.6,0.00,1500.2,1544.6,5.32
LPL20250305-20250601,LPL-8M02_1,18396,0.00,0.00,13.88,0.00,1.55,0.45,0.45,-0.2,0.00,1495.1,1506.7,0.04
LPL20250305-20250601,LPL-8M02_2,18397,0.00,0.00,13.53,0.00,1.65,0.55,0.55,-0.5,0.00,1493.4,1509.8,0.08
LPL20250305-20250601,LPL-8M02_3,18397,0.00,0.00,14.03,0.00,1.55,0.55,0.55,0.1,0.00,1495.1,1511.4,-0.00
LPL20250305-20250601,LPL-8M02_4,18397,0.00,0.00,16.58,0.00,1.55,0.55,0.55,-0.1,0.00,1501.8,1515.7,0.01
LPL20250305-20250601,LPL-8M02_5,18397,0.00,0.00,16.58,0.00,1.55,0.55,0.55,-0.0,0.00,1496.8,1520.1,0.00
LPL20250305-20250601,LPL-8M02_6,8973,0.00,0.00,18.73,0.00,1.55,0.55,0.55,-0.0,0.00,1503.5,1522.8,0.01
LPL20251208-20260225,LPL-8M02_1,18396,0.00,0.00,16.98,0.00,1.15,0.45,0.45,-0.2,0.00,1508.2,1514.3,0.29
LPL20251208-20260225,LPL-8M02_2,18397,0.00,0.00,17.28,0.00,1.15,0.65,0.65,-0.2,0.00,1509.8,1515.7,0.07
LPL20251208-20260225,LPL-8M02_3,18397,0.00,0.00,16.28,0.00,1.05,0.85,0.95,0.0,0.00,1508.2,1512.8,0.00
LPL20251208-20260225,LPL-8M02_4,18397,0.00,0.00,16.58,0.00,1.05,0.95,0.95,-0.1,0.00,1509.8,1514.3,0.09
LPL20251208-20260225,LPL-8M02_5,18397,0.00,0.00,16.78,0.00,0.95,1.15,1.15,-0.4,0.00,1505.0,1514.3,0.11
LPL20251208-20260225,LPL-8M02_6,673,0.00,0.00,14.93,0.00,22.85,24.65,24.85,-0.2,0.00,1500.2,1511.4,0.13
RechargeableBattTest,BATTST02,3216,0.00,0.00,22.77,100.00,40.35,154.55,154.55,2.5,0.00,1524.2,1537.9,0.02
RechargeableBattTest,BATTST03,3851,0.00,0.00,22.48,100.00,149.35,155.05,155.05,0.0,0.00,1524.2,1534.4,-0.02
20181127-20190301,IB-N02,108288,0.00,0.00,15.73,0.00,1.35,2.25,2.25,0.2,0.00,1500.2,1512.8,-0.00
20190301-20190423,IB-N02,61520,0.00,0.00,14.58,0.00,2.55,5.75,5.75,-1.4,0.00,1498.5,1514.3,3.54
20190422_IB_North,IB-N02,119304,0.00,0.00,15.58,0.00,1.35,2.25,2.25,0.0,0.00,1500.2,1512.8,-0.05
20181127-20190301,IB-S02,108288,0.00,0.00,15.68,0.00,0.55,1.85,1.85,-0.4,0.00,1500.2,1512.8,0.10
20190301-20190423,IB-S02,61531,0.00,0.00,14.53,0.00,0.55,1.85,1.85,-0.1,0.00,1498.5,1514.3,-0.01
20190422_IB_South,IB-S02,119304,0.00,0.00,15.58,0.00,0.55,1.85,1.85,-0.5,0.00,1500.2,1512.8,0.03
Cardiffbackbeach_Jan2016,V104901,4955,0.00,0.00,17.62,53.46,59.25,54.45,54.55,101.4,0.00,1492.7,1523.3,53.40
Cardiffbackbeach_Jan2016,V118101,1800,0.00,0.00,14.73,0.00,3.95,2.25,2.25,0.0,0.00,1497.8,1506.0,-0.02
Catalina_2021,CATISL02,10102,0.00,0.00,21.28,0.00,2.55,0.45,0.45,-2.9,19.56,1514.1,1526.6,0.01
Catalina_2021,CATISL03_1,18396,0.00,0.00,14.93,0.00,2.35,0.55,0.55,0.0,0.00,1500.1,1508.1,0.02
Catalina_2021,CATISL03_2,18397,0.00,0.00,14.88,0.00,2.35,0.55,0.55,0.2,0.00,1500.1,1506.5,-0.00
Catalina_2021,CATISL03_3,18397,0.00,0.00,14.62,0.00,2.35,0.55,0.55,-0.0,0.00,1500.1,1509.6,0.02
Catalina_2021,CATISL03_4,18397,0.00,0.00,16.08,0.00,2.55,0.25,0.25,-0.0,0.00,1498.4,1514.1,0.01
Catalina_2021,CATISL03_5,18397,0.00,0.00,16.48,0.00,2.55,0.25,0.25,-0.2,0.00,1498.4,1515.6,0.01
Catalina_2021,CATISL03_6,18397,0.00,0.00,17.38,0.00,2.55,0.25,0.25,-0.0,0.00,1501.7,1516.9,0.01
Catalina_2021,CATISL03_7,18397,0.00,0.00,16.43,0.00,2.55,0.25,0.25,0.0,0.00,1496.7,1514.1,-0.01
Catalina_2021,CATISL03_8,7763,0.00,0.00,16.43,0.00,2.55,0.25,0.25,-0.1,0.00,1503.3,1512.6,0.00
12414_MOP582-30m,TORREY12414_1,18396,0.00,0.00,13.38,0.00,1.35,0.25,0.25,0.0,0.00,1495.1,1506.5,-0.01
12414_MOP582-30m,TORREY12414_2,18397,0.00,0.00,14.18,0.00,4.05,2.25,2.35,0.1,0.00,1496.7,1506.5,1.53
12414_MOP582-30m,TORREY12414_3,18397,0.00,0.00,14.33,0.00,2.35,6.25,6.25,0.0,0.00,1496.7,1509.6,0.64
12414_MOP582-30m,TORREY12414_4,18397,0.00,0.00,14.28,0.00,2.25,6.25,6.25,-0.1,0.00,1496.7,1506.5,-0.10
12414_MOP582-30m,TORREY12414_5,18397,0.00,0.00,14.43,0.00,1.15,9.85,9.95,0.5,0.00,1498.4,1506.5,1.96
12414_MOP582-30m,TORREY12414_6,18397,0.00,0.00,14.12,0.00,2.15,10.35,10.45,0.0,0.00,1496.7,1506.5,0.48
